source,url,date,title,full text
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"A háború helyett tűzszünetre van szükség, ne a háborúra költsük a pénzt, hanem tűzszünetre - mondta Orbán Viktor kormányfő péntek reggel a Kossuth rádióban."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"Közölte, Ukrajna csatlakozása nincs előkészítve."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"A Bizottságnak meg kell értenie, hogy ez az ő hibája, akkor hozakodjon elő ezzel a kérdéssel, ha letárgyalta a tagállamokkal a kérdést, mi nem ellene vagyunk a döntéseknek, csak nem értünk egyet a többi tagállammal."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"Olyan, hogy vétó, nincs, az Unió alapszerződése ezt a fogalmat nem ismeri – jelentette ki péntek reggeli rádióinterjújában Orbán Viktor."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"A kormányfő a Kossuth rádióban elismerte, hogy korán van még filozófiai kérdések áttekintéséhez, de mégis beszélni kell erről."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"A miniszterelnök szerint csak olyan eset van, hogy egyes döntésekhez minden tagállam egyetértése szükséges."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"Ezek között lesz olyan, amelyeket Magyarország nem támogat, az egyik ilyen pedig Ukrajna uniós felvétele."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"Ukrajna tagjelöltként való felvétele nem egyezik Magyarország nemzeti érdekével, ezért ezt a kérdést nem tűzzük napirendre 

- erősítette meg a kormány álláspontját Orbán Viktor."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"A kormányfő szerint úgy lehet megóvni az Unió egységét, ha a megosztó kérdéseket nem is tűzik napirendre."
origo,https://www.origo.hu/itthon/20231201-oran-viktor-radiointerju-2023-december-1.html,2023-12-01,Orbán Viktor: Ukrajna uniós tagsága nem esik egybe Magyarország nemzeti érdekeivel,"A miniszterelnök elmondta, Ukrajna csatlakozása nincs előkészítve."
